word	weight
daim	0.6
dakaik	0.6
dakwa	0.6
dalam	0.6
dalang	0.6
damar	0.8
dambaan	0.6
damping	0.2
dana	0.8
dandan	0.8
dansa	0.6
dapat	0.4
dapatkan	0.4
dapet	0.4
darah	0.8
datar	0.6
dateng	0.4
daulat	0.8
daya cipta	0.8
daya gabung	0.8
daya guna	0.8
daya pikir	0.6
daya tahan	1.0
dear	0.4
debat	0.6
debuk	0.6
dede	0.2
dedengkot	0.6
deduksi	0.6
defensif	0.8
definisi	0.6
definit	0.4
degap	0.6
deket	0.2
dekorasi	1.0
delusi	0.6
demen	0.6
denda	0.6
dendam berahi	1.0
dendang	0.4
dengar	0.4
dengar pendapat	0.6
dengerin	0.6
denyut	0.4
dependen	0.6
derajat	1.0
derauan	0.6
deres	0.2
desain	0.8
desakan	0.8
detail	0.4
detailnya	0.2
determinasi	0.6
dewana	0.6
dewasa	0.4
diajak	0.2
diamond	0.6
dibalas	0.4
dibantu	0.4
dibayar	0.6
dicoba	0.4
dicuekin	0.2
didik	0.6
digdaya	0.8
dihati	0.6
dikara	0.6
dikasih	0.4
dikirim	0.4
dikonfirmasi	0.6
dikte	0.6
dimiliki	0.2
dimulai	0.2
dinamika	0.6
dingin	0.8
dipantau	0.4
diproses	0.2
direktur	0.6
disarankan	0.2
disayang	0.6
disiplin	0.6
diskaun	0.6
diskon	0.4
dispensasi	0.6
distingtif	0.8
distribusi	0.6
diterima	0.4
ditunggu	0.4
diva	0.4
doa	0.8
doain	0.4
doang	0.2
dodor	0.6
dogmatis	0.4
dok	0.8
doktrin	0.6
dol	0.6
dominan	0.6
dominasi	0.6
donatur	0.6
dongeng	0.6
donor	0.6
drama ria	0.6
drastis	0.8
drum	0.4
duga	0.6
dukung	0.8
dukungan	0.8
duli	0.8
duluan	0.4
dzuhur	0.2
eaa	0.2
eco	1.0
edar	0.4
efek	0.6
efektif	1.0
efisien	0.8
eja	0.6
eka	0.6
ekonomis	0.6
eksemplar	0.6
